"id","override","title","description","link"
"47833359909211","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 401 Beige Red","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=47833359909211"
"41038444822667","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 402 Beige apricot","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=41038444822667"
"47180865536347","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 403 Dark Pink","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=47180865536347"
"47833359941979","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 404 Rosy Red","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=47833359941979"
"47180870680923","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 405 Matte Red","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=47180870680923"
"41038444855435","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 406 Light pink","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=41038444855435"
"41038444888203","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 407 Glossy red","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=41038444888203"
"41038444920971","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 408 Pearly pink","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=41038444920971"
"41038444953739","ar_AR","قلم شفاه عضوي بيو تويست ٢ في ١ – ٥٥٪ مكونات فعّالة، تحديد وتعبئة مع الجوجوبا والخروع والشيا | ميس دبليو برو – 409 Natural brown","٥٥٪ مكونات عضوية فعّالة معتمدة · كوزمو بيو، عضوي منتج واحد. وظيفتان. تحديد الشفاه الدقيق وتعبئة الشفاه الكاملة في قلم تويست واحد. زيت الجوجوبا العضوي – انزلاق سهل لخطوط دقيقة وتعبئة متساوية. زيت الخروع العضوي – رطوبة دائمة تمنع الجفاف في الحرارة. زبدة الشيا العضوية – تكييف غني يُنعّم الشفاه ويملأها. 🌿 كوزمو بيو، عضوي | صنع في إيطاليا","https://purenbio.com/ar-ae/products/bio-twist?variant=41038444953739"
"52880288219483","ar_AR","قلم كحل عيون عضوي – كثافة وتعريف بزبدة الشيا العضوية | ميس دبليو برو – 122 Pearly Bronze Green","10% مكونات عضوية نشطة | معتمد Cosmétique BIO | آمن للعيون الحساسة | جميع أنواع البشرة افتحي وبنّي وكثّفي عيونك مع قلم الكحل العضوي المعتمد من ميس دبليو برو. كحل خشبي دقيق ينزلق بسلاسة على خط الرموش لنظرة محددة آسرة — من النهار إلى الليل في السعودية وسائر الخليج. زبدة الشيا العضوية (فيتامين A وE وF) — واقية ومُليّنة لمنطقة العين الرقيقة؛ ترطّب وتهدّئ البشرة حول العينين؛ تمنع الجفاف الناتج عن التكييف والغبار 🌿 معتمد Cosmétique BIO | قلم خشبي 1.1جم | صنع في إيطاليا","https://purenbio.com/ar-ae/products/eye-pencil-1?variant=52880288219483"
